日期,天气,高温,低温,AQI,风向,降水量
01-01,多云,9℃,5℃,102,东北风1级,0
01-02,多云,9℃,3℃,31,东北风2级,0
01-03,晴,10℃,2℃,27,东风2级,0
01-04,晴,12℃,3℃,83,东风1级,0
01-05,多云,13℃,7℃,58,东南风2级,0
01-06,晴,13℃,5℃,124,西北风2级,0
01-07,晴,15℃,6℃,133,东南风2级,0
01-08,晴,17℃,7℃,78,东南风2级,0
01-09,多云,16℃,7℃,77,东北风1级,0
01-10,晴,12℃,6℃,34,东北风2级,0
01-11,晴,18℃,9℃,39,东南风1级,0
01-12,大雨,18℃,12℃,44,南风1级,72.31
01-13,阴,17℃,4℃,31,东北风1级,0
01-14,阴,11℃,1℃,30,北风1级,0
01-15,阴,3℃,-1℃,53,西北风1级,0
01-16,阴,5℃,-1℃,57,北风1级,0
01-17,晴,8℃,0℃,59,西北风2级,0
01-18,晴,9℃,1℃,79,北风1级,0
01-19,晴,10℃,3℃,80,西南风2级,0
01-20,多云,9℃,2℃,65,东北风1级,0
01-21,多云,11℃,5℃,29,西北风1级,0
01-22,阴,10℃,3℃,24,东风1级,0
01-23,多云,8℃,-2℃,77,西风1级,0
01-24,晴,0℃,-4℃,51,西北风2级,0
01-25,晴,9℃,-4℃,31,东南风2级,0
01-26,多云,9℃,0℃,68,西北风1级,0
01-27,晴,5℃,-2℃,53,西北风2级,0
01-28,晴,10℃,0℃,63,西南风2级,0
01-29,晴,9℃,0℃,60,西风2级,0
01-30,晴,15℃,3℃,78,东南风1级,0
01-31,晴,16℃,5℃,72,南风2级,0
02-01,晴,12℃,4℃,59,东南风1级,0
02-02,大雨,8℃,4℃,59,西南风1级,13.84
02-03,多云,10℃,2℃,44,东风1级,0
02-04,晴,11℃,4℃,51,东风2级,0
02-05,多云,11℃,6℃,64,东风1级,0
02-06,多云,10℃,7℃,24,北风1级,0
02-07,多云,11℃,6℃,46,北风1级,0
02-08,大雨,10℃,7℃,29,东风1级,8.91
02-09,多云,10℃,6℃,30,西北风2级,0
02-10,多云,10℃,6℃,29,东南风1级,0
02-11,多云,13℃,8℃,38,东北风1级,0
02-12,大雨,13℃,5℃,63,西风2级,87.72
02-13,小雨,7℃,3℃,42,北风1级,2.07
02-14,多云,8℃,2℃,24,北风1级,0
02-15,晴,10℃,2℃,31,北风1级,0
02-16,多云,15℃,3℃,40,东北风1级,0
02-17,多云,19℃,7℃,60,东南风1级,0
02-18,小雨,19℃,6℃,130,东风1级,1.92
02-19,多云,12℃,3℃,64,东北风1级,0
02-20,晴,11℃,4℃,105,东北风1级,0
02-21,多云,9℃,4℃,34,东风1级,0
02-22,多云,8℃,4℃,24,东北风1级,0
02-23,阴,8℃,5℃,20,东北风2级,1.92
02-24,多云,10℃,4℃,109,北风3级,0
02-25,晴,9℃,2℃,25,北风3级,0
02-26,晴,12℃,3℃,55,东北风1级,0
02-27,晴,16℃,4℃,29,北风1级,0
02-28,多云,18℃,6℃,73,南风3级,274.64
03-01,多云,16℃,6℃,88,东北风1级,0
03-02,晴,13℃,4℃,31,东风2级,0
03-03,多云,18℃,5℃,48,北风1级,0
03-04,晴,18℃,6℃,44,东南风2级,0
03-05,晴,22℃,7℃,52,北风1级,0
03-06,多云,24℃,9℃,74,西北风1级,0
03-07,阴,23℃,11℃,56,南风3级,0
03-08,多云,24℃,12℃,68,西南风2级,0
03-09,晴,27℃,13℃,173,东南风2级,0
03-10,多云,27℃,13℃,79,北风1级,0
03-11,多云,23℃,8℃,60,南风2级,0
03-12,多云,17℃,6℃,42,北风4级,0
03-13,晴,18℃,5℃,56,东北风1级,0
03-14,晴,24℃,7℃,31,西南风1级,0
03-15,多云,23℃,10℃,41,东北风3级,0
03-16,多云,15℃,9℃,48,东北风3级,0
03-17,多云,13℃,7℃,17,北风1级,0
03-18,多云,14℃,7℃,35,北风1级,0
03-19,多云,16℃,8℃,56,北风1级,0
03-20,大雨,17℃,10℃,54,东南风2级,59.42
03-21,多云,18℃,11℃,62,东风1级,0
03-22,多云,17℃,12℃,65,西风3级,0
03-23,多云,14℃,9℃,174,北风1级,0
03-24,多云,11℃,7℃,48,东北风1级,0
03-25,多云,15℃,7℃,51,东风1级,0
03-26,多云,16℃,7℃,89,北风1级,0
03-27,多云,17℃,8℃,74,东风2级,0
03-28,多云,18℃,8℃,60,北风1级,0
03-29,大雨,17℃,11℃,58,北风1级,226.84
03-30,多云,15℃,11℃,100,东风1级,0
03-31,多云,20℃,10℃,51,东风2级,0
04-01,晴,22℃,10℃,51,东风2级,0
04-02,多云,22℃,10℃,69,西北风1级,0
04-03,大雨,19℃,12℃,41,北风1级,105.09
04-04,多云,21℃,12℃,36,东南风1级,0
04-05,多云,17℃,10℃,54,西北风2级,0
04-06,多云,18℃,9℃,91,西北风2级,0
04-07,多云,19℃,8℃,58,东北风2级,0
04-08,晴,20℃,6℃,48,东南风2级,0
04-09,晴,21℃,7℃,44,东南风3级,0
04-10,多云,27℃,11℃,36,西风1级,0
04-11,阴,26℃,16℃,312,南风3级,0
04-12,多云,22℃,13℃,179,北风1级,0
04-13,多云,24℃,11℃,84,北风1级,0
04-14,多云,23℃,15℃,100,北风3级,0
04-15,多云,28℃,15℃,85,西南风3级,0
04-16,晴,27℃,13℃,59,北风1级,0
04-17,晴,31℃,14℃,67,南风3级,0
04-18,多云,31℃,18℃,63,东风1级,0
04-19,多云,24℃,16℃,36,东风3级,0
04-20,阴,22℃,16℃,44,东风3级,0
04-21,多云,20℃,12℃,73,北风3级,0
04-22,多云,21℃,11℃,98,东风3级,0
04-23,大雨,17℃,13℃,69,北风1级,19.36
04-24,大雨,17℃,12℃,27,北风1级,26.35
04-25,多云,22℃,12℃,60,西风2级,0
04-26,多云,23℃,13℃,72,东北风1级,0
04-27,多云,27℃,12℃,69,西北风1级,0
04-28,大雨,28℃,15℃,59,西南风2级,32.4
04-29,多云,25℃,13℃,82,北风1级,0
04-30,多云,29℃,10℃,86,北风1级,0
05-01,晴,27℃,12℃,66,东南风3级,0
05-02,多云,25℃,14℃,48,西北风1级,0
05-03,多云,30℃,19℃,25,东南风4级,0
05-04,多云,28℃,21℃,38,东南风3级,0
05-05,多云,25℃,18℃,49,北风2级,0
05-06,中雨,20℃,15℃,46,北风1级,6.67
05-07,多云,20℃,13℃,25,北风3级,0
05-08,多云,23℃,13℃,44,东北风2级,0
05-09,多云,23℃,10℃,31,北风1级,0
05-10,大雨,21℃,11℃,36,东风2级,12.6
05-11,多云,23℃,15℃,59,北风1级,0
05-12,多云,24℃,16℃,122,东风2级,0
05-13,多云,32℃,14℃,78,北风1级,0
05-14,晴,33℃,17℃,63,西南风2级,0
05-15,多云,33℃,18℃,62,南风3级,0
05-16,阴,30℃,19℃,29,南风4级,0
05-17,雨,25℃,19℃,34,东南风4级,0
05-18,多云,26℃,18℃,16,北风3级,0
05-19,多云,27℃,18℃,33,东南风2级,0
05-20,晴,27℃,16℃,42,东南风3级,0
05-21,多云,26℃,17℃,43,东风3级,0
05-22,多云,25℃,13℃,87,西北风2级,0
05-23,多云,26℃,14℃,56,东南风2级,0
05-24,多云,26℃,16℃,56,东南风1级,0
05-25,多云,28℃,16℃,60,西北风1级,0
05-26,大雨,27℃,19℃,43,东南风3级,170.5
05-27,多云,31℃,22℃,44,东北风1级,0
05-28,多云,34℃,22℃,24,北风1级,0
05-29,多云,35℃,23℃,54,东北风2级,0
05-30,雨,29℃,21℃,29,北风2级,0
05-31,阴,29℃,21℃,32,东风2级,0
06-01,多云,31℃,21℃,32,东北风2级,0
06-02,晴,32℃,21℃,69,东北风3级,0
06-03,多云,26℃,21℃,44,东风2级,0
06-04,多云,25℃,20℃,35,东风1级,0
06-05,阴,26℃,19℃,65,西北风3级,0
06-06,多云,29℃,18℃,65,北风1级,0
06-07,阴,32℃,18℃,72,东南风2级,0
06-08,多云,34℃,21℃,49,南风3级,0
06-09,晴,35℃,22℃,44,南风3级,0
06-10,阴,33℃,22℃,29,东南风3级,0
06-11,多云,31℃,22℃,22,东风3级,0
06-12,阴,27℃,22℃,17,北风1级,0
06-13,阴,30℃,21℃,20,东风2级,0
06-14,雨,31℃,21℃,40,东南风2级,0
06-15,阴,30℃,19℃,55,北风1级,0
06-16,阴,29℃,21℃,42,南风3级,0
06-17,中雨,26℃,22℃,21,东风2级,6.82
06-18,多云,26℃,23℃,16,东北风2级,0
06-19,中雨,29℃,23℃,19,南风2级,5.13
06-20,阴,30℃,23℃,92,东北风2级,0
06-21,阴,33℃,23℃,88,东南风1级,0
06-22,阴,33℃,23℃,69,东南风2级,0
06-23,大雨,28℃,20℃,31,东南风3级,26.22
06-24,阴,29℃,19℃,16,东南风3级,0
06-25,阴,30℃,23℃,17,南风2级,0
06-26,多云,30℃,25℃,24,南风2级,0
06-27,晴,35℃,24℃,31,南风3级,0
06-28,阴,35℃,26℃,40,南风2级,0
06-29,阴,36℃,27℃,51,东北风1级,0
06-30,多云,32℃,25℃,18,南风2级,0
07-01,晴,33℃,25℃,59,东南风2级,0
07-02,中雨,35℃,25℃,20,南风2级,5.5
07-03,阴,35℃,25℃,81,东南风2级,0
07-04,阴,35℃,28℃,30,西风3级,0
07-05,晴,34℃,25℃,35,南风2级,0
07-06,阴,35℃,25℃,42,南风3级,0
07-07,阴,34℃,27℃,48,北风2级,0
07-08,阴,30℃,26℃,59,南风2级,0
07-09,阴,34℃,27℃,32,西南风2级,0
07-10,晴,32℃,24℃,26,南风3级,0
07-11,多云,36℃,26℃,48,南风3级,0
07-12,阴,37℃,28℃,41,南风3级,0
07-13,多云,37℃,29℃,46,南风1级,0
07-14,多云,36℃,27℃,35,南风2级,0
07-15,多云,35℃,27℃,30,东风2级,0
07-16,多云,32℃,27℃,20,东南风1级,0
