发震时刻,震级,纬度(°),经度(°),深度(千米),参考位置,省份,城市
2024/6/11 1:35,5.0,40.89,84.15,20.0,新疆巴音郭楞州尉犁县,新疆维吾尔自治区,巴音郭楞
2024/6/1 8:46,5.9,34.14,86.36,8.0,西藏那曲市尼玛县,西藏自治区,那曲
2024/6/1 1:10,5.2,24.01,121.59,10.0,台湾花莲县,台湾省,台湾
2024/5/27 11:07,5.0,28.25,100.7,8.0,四川凉山州木里县,四川省,凉山
2024/5/22 16:00,5.0,23.8,121.74,10.0,台湾花莲县海域,台湾省,台湾
2024/5/20 13:10,5.2,40.28,77.05,19.0,新疆克孜勒苏州阿图什市,新疆维吾尔自治区,克孜勒苏
2024/5/10 15:45,5.6,24.22,121.89,10.0,台湾花莲县海域,台湾省,台湾
2024/5/6 17:52,5.2,23.7,121.57,25.0,台湾花莲县海域,台湾省,台湾
2024/5/6 17:45,5.3,23.71,121.62,20.0,台湾花莲县海域,台湾省,台湾
2024/4/27 2:49,5.3,24.21,121.77,27.0,台湾花莲县海域,台湾省,台湾
2024/4/27 2:21,5.6,24.08,121.77,30.0,台湾花莲县海域,台湾省,台湾
2024/4/25 2:11,5.0,23.95,122.31,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 10:21,5.0,23.82,121.6,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 9:45,5.0,23.8,121.58,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 8:04,6.0,23.87,121.59,10.0,台湾花莲县,台湾省,台湾
2024/4/23 5:31,5.3,23.81,121.6,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 5:24,5.0,23.73,121.49,10.0,台湾花莲县,台湾省,台湾
2024/4/23 5:19,5.2,23.76,121.58,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 5:04,5.1,23.69,121.52,10.0,台湾花莲县,台湾省,台湾
2024/4/23 4:49,5.8,23.69,121.58,10.0,台湾花莲县海域,台湾省,台湾
2024/4/23 2:32,6.2,23.81,121.53,10.0,台湾花莲县,台湾省,台湾
2024/4/23 2:26,6.3,23.7,121.68,10.0,台湾花莲县海域,台湾省,台湾
2024/4/22 22:11,5.9,23.79,121.49,9.0,台湾花莲县,台湾省,台湾
2024/4/22 21:13,5.1,23.67,121.54,10.0,台湾花莲县,台湾省,台湾
2024/4/22 18:50,5.7,23.76,121.51,10.0,台湾花莲县,台湾省,台湾
2024/4/22 18:46,5.3,23.74,121.59,10.0,台湾花莲县海域,台湾省,台湾
2024/4/22 17:08,5.3,23.72,121.59,10.0,台湾花莲县海域,台湾省,台湾
2024/4/21 10:40,5.0,23.49,121.6,20.0,台湾花莲县海域,台湾省,台湾
2024/4/13 13:44,5.2,33.56,81.84,10.0,西藏阿里地区日土县,西藏自治区,阿里
2024/4/10 22:56,5.6,41.98,82.56,16.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2024/4/8 4:47,5.1,41.93,82.07,18.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2024/4/7 16:46,5.4,41.94,82.14,17.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2024/4/4 8:39,5.5,38.39,90.93,10.0,青海海西州茫崖市,青海省,海西
2024/4/3 10:28,5.1,24.22,121.8,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 10:14,5.6,24.14,121.76,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 9:39,5.6,23.8,121.89,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 9:09,5.0,24.06,121.79,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 8:46,5.5,24.07,121.81,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 8:43,5.2,23.94,121.57,10.0,台湾花莲县,台湾省,台湾
2024/4/3 8:35,5.9,24.18,121.53,10.0,台湾花莲县,台湾省,台湾
2024/4/3 8:11,6.0,24.1,121.65,10.0,台湾花莲县海域,台湾省,台湾
2024/4/3 7:58,7.3,23.81,121.74,12.0,台湾花莲县海域,台湾省,台湾
2024/3/7 18:06,5.5,33.58,93.01,10.0,青海玉树州杂多县,青海省,克孜勒苏
2024/3/5 10:07,5.3,33.52,93.01,10.0,青海玉树州杂多县,青海省,克孜勒苏
